ts,weg,richting,km,strook,beeld
2026-09-06T01:48+02:00,A15,R,47.07,3,speedlimit
2026-09-06T01:48+02:00,A15,R,49.0,1,lane_closed
2026-09-06T01:48+02:00,A13,L,16.7,1,speedlimit
2026-09-06T01:48+02:00,A15,R,46.769,1,speedlimit
2026-09-06T01:48+02:00,A15,h,60.62,1,speedlimit
2026-09-06T01:48+02:00,A13,L,8.6,3,speedlimit
2026-09-06T01:48+02:00,A15,R,59.2,2,lane_closed
2026-09-06T01:48+02:00,A15,R,45.92,4,speedlimit
2026-09-06T01:48+02:00,A20,L,30.196,2,speedlimit
2026-09-06T01:48+02:00,A15,R,77.003,3,speedlimit
2026-09-06T01:48+02:00,A15,R,45.92,2,speedlimit
2026-09-06T01:48+02:00,A15,R,52.92,1,lane_closed
2026-09-06T01:48+02:00,A13,R,16.655,1,speedlimit
2026-09-06T01:48+02:00,A13,R,17.1,2,speedlimit
2026-09-06T01:48+02:00,A15,R,54.04,1,lane_closed
2026-09-06T01:48+02:00,A13,L,8.6,2,speedlimit
2026-09-06T01:48+02:00,A4,L,5.93,1,speedlimit
2026-09-06T01:48+02:00,A13,L,7.9,3,speedlimit
2026-09-06T01:48+02:00,A15,R,58.05,4,lane_closed
2026-09-06T01:48+02:00,A15,R,53.47,3,lane_closed
2026-09-06T01:48+02:00,A15,R,55.59,2,lane_closed
2026-09-06T01:48+02:00,A15,R,51.28,1,lane_closed
2026-09-06T01:48+02:00,A15,R,48.69,1,lane_closed
2026-09-06T01:48+02:00,A15,R,55.59,1,lane_closed
2026-09-06T01:48+02:00,A16,y,23.535,2,lane_closed
2026-09-06T01:48+02:00,A15,R,77.003,1,speedlimit
2026-09-06T01:48+02:00,A15,R,47.775,1,lane_closed
2026-09-06T01:48+02:00,A13,R,18.5,1,speedlimit
2026-09-06T01:48+02:00,A20,L,29.5,2,speedlimit
2026-09-06T01:48+02:00,A15,R,50.87,1,lane_closed
2026-09-06T01:48+02:00,A13,R,18.5,4,speedlimit
2026-09-06T01:48+02:00,A13,R,18.2,3,speedlimit
2026-09-06T01:48+02:00,A15,R,49.0,3,lane_closed
2026-09-06T01:48+02:00,A15,h,60.62,2,speedlimit
2026-09-06T01:48+02:00,A20,R,28.1,1,speedlimit
2026-09-06T01:48+02:00,A16,y,23.075,1,speedlimit
2026-09-06T01:48+02:00,A20,R,30.196,3,speedlimit
2026-09-06T01:48+02:00,A4,L,4.44,3,lane_closed
2026-09-06T01:48+02:00,A15,R,47.775,5,speedlimit
2026-09-06T01:48+02:00,A13,L,8.6,1,speedlimit
2026-09-06T01:48+02:00,A15,R,46.468,1,speedlimit
2026-09-06T01:48+02:00,A15,R,51.88,3,lane_closed
2026-09-06T01:48+02:00,A15,p,50.4,1,lane_closed
2026-09-06T01:48+02:00,A20,L,36.94,1,lane_closed
2026-09-06T01:48+02:00,A4,R,2.367,4,lane_closed
2026-09-06T01:48+02:00,A15,R,58.05,1,lane_closed
2026-09-06T01:48+02:00,A15,R,58.46,2,lane_closed
2026-09-06T01:48+02:00,A15,R,46.17,3,speedlimit
2026-09-06T01:48+02:00,A4,R,59.72,1,speedlimit
2026-09-06T01:48+02:00,A15,R,56.6,3,lane_closed
2026-09-06T01:48+02:00,A15,n,95.855,3,speedlimit
2026-09-06T01:48+02:00,A4,R,76.9,1,lane_closed
2026-09-06T01:48+02:00,A13,R,17.8,2,speedlimit
2026-09-06T01:48+02:00,A13,L,7.9,2,speedlimit
2026-09-06T01:48+02:00,A4,L,5.225,6,speedlimit
2026-09-06T01:48+02:00,A13,L,7.2,3,speedlimit
2026-09-06T01:48+02:00,A15,x,56.25,1,lane_closed
2026-09-06T01:48+02:00,A20,s,29.6,2,speedlimit
2026-09-06T01:48+02:00,A15,L,65.25,2,speedlimit
2026-09-06T01:48+02:00,A15,L,65.685,3,speedlimit
2026-09-06T01:48+02:00,A15,R,52.32,3,lane_closed
2026-09-06T01:48+02:00,A15,n,96.82,1,speedlimit
2026-09-06T01:48+02:00,A15,m,95.76,2,speedlimit
2026-09-06T01:48+02:00,A15,R,58.05,2,lane_closed
2026-09-06T01:48+02:00,A4,R,74.737,1,lane_closed_ahead
2026-09-06T01:48+02:00,A20,R,26.93,4,speedlimit
2026-09-06T01:48+02:00,A20,R,28.57,3,speedlimit
2026-09-06T01:48+02:00,A4,L,2.447,4,lane_closed
2026-09-06T01:48+02:00,A13,L,18.8,2,speedlimit
2026-09-06T01:48+02:00,A15,R,60.49,4,speedlimit
2026-09-06T01:48+02:00,A15,R,50.31,1,lane_closed
2026-09-06T01:48+02:00,A20,R,27.235,1,speedlimit
2026-09-06T01:48+02:00,A20,L,28.41,2,speedlimit
2026-09-06T01:48+02:00,A15,R,47.07,1,lane_closed_ahead
2026-09-06T01:48+02:00,A4,R,60.6,2,speedlimit
2026-09-06T01:48+02:00,A15,R,57.78,1,lane_closed
2026-09-06T01:48+02:00,A4,R,51.388,2,speedlimit
2026-09-06T01:48+02:00,A15,R,48.69,4,speedlimit
2026-09-06T01:48+02:00,A20,R,27.79,2,speedlimit
2026-09-06T01:48+02:00,A13,R,18.5,3,speedlimit
2026-09-06T01:48+02:00,A20,R,28.57,4,speedlimit
2026-09-06T01:48+02:00,A20,R,31.26,4,speedlimit
2026-09-06T01:48+02:00,A20,L,29.826,2,speedlimit
2026-09-06T01:48+02:00,A20,L,35.925,1,lane_closed
2026-09-06T01:48+02:00,A20,L,28.57,1,speedlimit
2026-09-06T01:48+02:00,A4,R,58.82,1,speedlimit
2026-09-06T01:48+02:00,A20,R,29.5,4,speedlimit
2026-09-06T01:48+02:00,A15,n,96.82,2,speedlimit
2026-09-06T01:48+02:00,A15,R,54.04,3,lane_closed
2026-09-06T01:48+02:00,A15,m,60.07,1,speedlimit
2026-09-06T01:48+02:00,A20,R,28.1,2,speedlimit
2026-09-06T01:48+02:00,A20,R,26.64,1,speedlimit
2026-09-06T01:48+02:00,A15,L,64.2,2,speedlimit
2026-09-06T01:48+02:00,A15,R,60.49,3,lane_closed
2026-09-06T01:48+02:00,A15,R,48.69,3,lane_closed
2026-09-06T01:48+02:00,A16,L,24.82,3,speedlimit
2026-09-06T01:48+02:00,A20,L,32.8,2,speedlimit
2026-09-06T01:48+02:00,A15,L,65.25,4,speedlimit
2026-09-06T01:48+02:00,A15,R,59.2,1,lane_closed
2026-09-06T01:48+02:00,A13,L,17.1,3,speedlimit
2026-09-06T01:48+02:00,A13,L,7.2,1,speedlimit
2026-09-06T01:48+02:00,A20,L,36.625,1,lane_closed
2026-09-06T01:48+02:00,A4,L,5.549,6,speedlimit
2026-09-06T01:48+02:00,A16,y,23.9,1,speedlimit
2026-09-06T01:48+02:00,A15,x,47.025,2,speedlimit
2026-09-06T01:48+02:00,A20,L,27.488,1,speedlimit
2026-09-06T01:48+02:00,A20,L,27.2,1,speedlimit
2026-09-06T01:48+02:00,A4,h,46.06,2,speedlimit
2026-09-06T01:48+02:00,A4,R,74.737,2,speedlimit
2026-09-06T01:48+02:00,A15,R,59.57,2,lane_closed
2026-09-06T01:48+02:00,A20,L,27.8,2,speedlimit
2026-09-06T01:48+02:00,A15,R,58.05,5,lane_closed
2026-09-06T01:48+02:00,A13,L,18.2,3,speedlimit
2026-09-06T01:48+02:00,A16,L,24.82,1,speedlimit
2026-09-06T01:48+02:00,A20,L,31.88,1,speedlimit
2026-09-06T01:48+02:00,A15,R,51.88,4,lane_closed
2026-09-06T01:48+02:00,A13,L,16.7,2,speedlimit
2026-09-06T01:48+02:00,A20,L,30.9,2,speedlimit
2026-09-06T01:48+02:00,A15,R,46.859,2,speedlimit
2026-09-06T01:48+02:00,A20,L,28.085,1,speedlimit
2026-09-06T01:48+02:00,A15,R,58.05,3,lane_closed
2026-09-06T01:48+02:00,A16,y,23.535,1,speedlimit
2026-09-06T01:48+02:00,A15,R,53.47,1,lane_closed
2026-09-06T01:48+02:00,A20,R,30.6,1,speedlimit
2026-09-06T01:48+02:00,A13,R,17.1,3,speedlimit
2026-09-06T01:48+02:00,A20,R,26.93,3,speedlimit
2026-09-06T01:48+02:00,A20,L,31.4,1,speedlimit
2026-09-06T01:48+02:00,A15,m,95.3,1,speedlimit
2026-09-06T01:48+02:00,A4,L,5.225,3,speedlimit
2026-09-06T01:48+02:00,A15,R,54.7,2,lane_closed
2026-09-06T01:48+02:00,A20,L,31.1,2,speedlimit
2026-09-06T01:48+02:00,A15,R,53.47,2,lane_closed
2026-09-06T01:48+02:00,A13,g,18.7,2,speedlimit
2026-09-06T01:48+02:00,A15,L,65.685,2,speedlimit
2026-09-06T01:48+02:00,A15,x,55.59,1,lane_closed_ahead
2026-09-06T01:48+02:00,A13,L,7.9,1,speedlimit
2026-09-06T01:48+02:00,A20,L,31.4,2,speedlimit
2026-09-06T01:48+02:00,A4,R,75.214,2,speedlimit
2026-09-06T01:48+02:00,A15,R,46.356,2,speedlimit
2026-09-06T01:48+02:00,A13,L,15.9,3,lane_closed
2026-09-06T01:48+02:00,A15,m,95.3,3,speedlimit
2026-09-06T01:48+02:00,A4,L,2.006,4,lane_closed
2026-09-06T01:48+02:00,A15,x,55.14,1,speedlimit
2026-09-06T01:48+02:00,A15,R,56.1,3,lane_closed
2026-09-06T01:48+02:00,A13,R,16.2,1,speedlimit
