ts,soort,lat,lon
2026-09-09T01:49+02:00,VehicleObstruction,51.86733,4.551221
2026-09-09T01:49+02:00,Brugopening,51.908237,4.488891
2026-09-09T01:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-09T01:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-09T01:49+02:00,ReroutingManagement,51.842125,4.611553
2026-09-09T01:49+02:00,VehicleObstruction,51.876293,4.368422
2026-09-09T01:49+02:00,VehicleObstruction,51.89566,4.3737574
2026-09-09T01:49+02:00,VehicleObstruction,51.877495,4.3802986
2026-09-09T01:49+02:00,VehicleObstruction,51.86466,4.5432277
2026-09-09T01:49+02:00,GeneralObstruction,51.963196,4.548738
2026-09-09T01:49+02:00,VehicleObstruction,51.871864,4.5762143
2026-09-09T01:49+02:00,ReroutingManagement,51.945732,4.531031
2026-09-09T01:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-09T01:49+02:00,VehicleObstruction,51.876762,4.3784623
