ts,soort,lat,lon
2026-09-06T01:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T01:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T01:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T01:49+02:00,ReroutingManagement,51.98885,4.32404
2026-09-06T01:49+02:00,ReroutingManagement,51.948757,4.4182515
2026-09-06T01:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T01:49+02:00,VehicleObstruction,51.874084,4.3445024
2026-09-06T01:49+02:00,VehicleObstruction,51.95773,4.3478103
2026-09-06T01:49+02:00,ReroutingManagement,51.86179,4.474661
2026-09-06T01:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-06T01:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-06T01:49+02:00,VehicleObstruction,51.869743,4.43131
2026-09-06T01:49+02:00,VehicleObstruction,51.875134,4.3508005
2026-09-06T01:49+02:00,VehicleObstruction,51.88375,4.5649533
2026-09-06T01:49+02:00,VehicleObstruction,51.875748,4.3587265
2026-09-06T01:49+02:00,ReroutingManagement,51.872105,4.337318
2026-09-06T01:49+02:00,ReroutingManagement,51.859173,4.2902656
2026-09-06T01:49+02:00,Accident,51.86647,4.5187235
2026-09-06T01:49+02:00,ReroutingManagement,51.980083,4.3323345
2026-09-06T01:49+02:00,ReroutingManagement,51.985603,4.283731
2026-09-06T01:49+02:00,ReroutingManagement,51.996044,4.31557
2026-09-06T01:49+02:00,VehicleObstruction,51.865288,4.523607
2026-09-06T01:49+02:00,VehicleObstruction,51.87911,4.384236
2026-09-06T01:49+02:00,VehicleObstruction,51.858826,4.595154
2026-09-06T01:49+02:00,Brugopening,51.859573,4.340096
2026-09-06T01:49+02:00,VehicleObstruction,51.889046,4.562503
2026-09-06T01:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-06T01:49+02:00,ReroutingManagement,51.87013,4.429051
2026-09-06T01:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T01:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T01:49+02:00,ReroutingManagement,51.862316,4.479005
2026-09-06T01:49+02:00,VehicleObstruction,51.86148,4.4693437
2026-09-06T01:49+02:00,Brugopening,51.920258,4.499796
2026-09-06T02:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T02:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T02:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T02:49+02:00,ReroutingManagement,51.98885,4.32404
2026-09-06T02:49+02:00,ReroutingManagement,51.948757,4.4182515
2026-09-06T02:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T02:49+02:00,VehicleObstruction,51.874084,4.3445024
2026-09-06T02:49+02:00,VehicleObstruction,51.905865,4.370978
2026-09-06T02:49+02:00,ReroutingManagement,51.86179,4.474661
2026-09-06T02:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-06T02:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-06T02:49+02:00,VehicleObstruction,51.869743,4.43131
2026-09-06T02:49+02:00,VehicleObstruction,51.875134,4.3508005
2026-09-06T02:49+02:00,VehicleObstruction,51.875748,4.3587265
2026-09-06T02:49+02:00,ReroutingManagement,51.872105,4.337318
2026-09-06T02:49+02:00,ReroutingManagement,51.859173,4.2902656
2026-09-06T02:49+02:00,ReroutingManagement,51.980083,4.3323345
2026-09-06T02:49+02:00,ReroutingManagement,51.985603,4.283731
2026-09-06T02:49+02:00,ReroutingManagement,51.996044,4.31557
2026-09-06T02:49+02:00,VehicleObstruction,51.87911,4.384236
2026-09-06T02:49+02:00,Brugopening,51.859573,4.340096
2026-09-06T02:49+02:00,VehicleObstruction,51.90304,4.3708816
2026-09-06T02:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-06T02:49+02:00,ReroutingManagement,51.87013,4.429051
2026-09-06T02:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T02:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T02:49+02:00,ReroutingManagement,51.862316,4.479005
2026-09-06T02:49+02:00,VehicleObstruction,51.86148,4.4693437
2026-09-06T02:49+02:00,Brugopening,51.920258,4.499796
2026-09-06T03:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T03:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T03:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T03:49+02:00,ReroutingManagement,51.98885,4.32404
2026-09-06T03:49+02:00,ReroutingManagement,51.948757,4.4182515
2026-09-06T03:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T03:49+02:00,VehicleObstruction,51.874084,4.3445024
2026-09-06T03:49+02:00,ReroutingManagement,51.86179,4.474661
2026-09-06T03:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-06T03:49+02:00,VehicleObstruction,51.972954,4.4857254
2026-09-06T03:49+02:00,VehicleObstruction,51.95572,4.5621505
2026-09-06T03:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-06T03:49+02:00,VehicleObstruction,51.869743,4.43131
2026-09-06T03:49+02:00,VehicleObstruction,51.875134,4.3508005
2026-09-06T03:49+02:00,VehicleObstruction,51.875748,4.3587265
2026-09-06T03:49+02:00,ReroutingManagement,51.872105,4.337318
2026-09-06T03:49+02:00,ReroutingManagement,51.859173,4.2902656
2026-09-06T03:49+02:00,ReroutingManagement,51.980083,4.3323345
2026-09-06T03:49+02:00,ReroutingManagement,51.985603,4.283731
2026-09-06T03:49+02:00,ReroutingManagement,51.996044,4.31557
2026-09-06T03:49+02:00,VehicleObstruction,51.87911,4.384236
2026-09-06T03:49+02:00,Brugopening,51.859573,4.340096
2026-09-06T03:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-06T03:49+02:00,ReroutingManagement,51.87013,4.429051
2026-09-06T03:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T03:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T03:49+02:00,ReroutingManagement,51.862316,4.479005
2026-09-06T03:49+02:00,VehicleObstruction,51.86148,4.4693437
2026-09-06T03:49+02:00,Brugopening,51.920258,4.499796
2026-09-06T04:51+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T04:51+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T04:51+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T04:51+02:00,ReroutingManagement,51.98885,4.32404
2026-09-06T04:51+02:00,ReroutingManagement,51.948757,4.4182515
2026-09-06T04:51+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T04:51+02:00,VehicleObstruction,51.874084,4.3445024
2026-09-06T04:51+02:00,ReroutingManagement,51.86179,4.474661
2026-09-06T04:51+02:00,ReroutingManagement,51.837963,4.618822
2026-09-06T04:51+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-06T04:51+02:00,VehicleObstruction,51.869743,4.43131
2026-09-06T04:51+02:00,VehicleObstruction,51.875134,4.3508005
2026-09-06T04:51+02:00,VehicleObstruction,51.875748,4.3587265
2026-09-06T04:51+02:00,ReroutingManagement,51.872105,4.337318
2026-09-06T04:51+02:00,ReroutingManagement,51.859173,4.2902656
2026-09-06T04:51+02:00,ReroutingManagement,51.980083,4.3323345
2026-09-06T04:51+02:00,ReroutingManagement,51.985603,4.283731
2026-09-06T04:51+02:00,ReroutingManagement,51.996044,4.31557
2026-09-06T04:51+02:00,VehicleObstruction,51.87911,4.384236
2026-09-06T04:51+02:00,Brugopening,51.859573,4.340096
2026-09-06T04:51+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-06T04:51+02:00,ReroutingManagement,51.87013,4.429051
2026-09-06T04:51+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T04:51+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T04:51+02:00,ReroutingManagement,51.862316,4.479005
2026-09-06T04:51+02:00,VehicleObstruction,51.86148,4.4693437
2026-09-06T04:51+02:00,Brugopening,51.920258,4.499796
2026-09-06T06:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T06:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T06:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T06:49+02:00,ReroutingManagement,51.98885,4.32404
2026-09-06T06:49+02:00,ReroutingManagement,51.948757,4.4182515
2026-09-06T06:49+02:00,ReroutingManagement,51.89014,4.3783402
2026-09-06T06:49+02:00,VehicleObstruction,51.874084,4.3445024
2026-09-06T06:49+02:00,GeneralObstruction,51.993965,4.3545523
2026-09-06T06:49+02:00,ReroutingManagement,51.86179,4.474661
2026-09-06T06:49+02:00,ReroutingManagement,51.837963,4.618822
2026-09-06T06:49+02:00,ReroutingManagement,51.858543,4.5923424
2026-09-06T06:49+02:00,VehicleObstruction,51.869743,4.43131
2026-09-06T06:49+02:00,VehicleObstruction,51.875134,4.3508005
2026-09-06T06:49+02:00,VehicleObstruction,51.875748,4.3587265
2026-09-06T06:49+02:00,ReroutingManagement,51.872105,4.337318
2026-09-06T06:49+02:00,ReroutingManagement,51.859173,4.2902656
2026-09-06T06:49+02:00,ReroutingManagement,51.980083,4.3323345
2026-09-06T06:49+02:00,ReroutingManagement,51.985603,4.283731
2026-09-06T06:49+02:00,ReroutingManagement,51.996044,4.31557
2026-09-06T06:49+02:00,VehicleObstruction,51.921436,4.535727
2026-09-06T06:49+02:00,VehicleObstruction,51.87911,4.384236
2026-09-06T06:49+02:00,Brugopening,51.859573,4.340096
2026-09-06T06:49+02:00,ReroutingManagement,51.8982,4.5477395
2026-09-06T06:49+02:00,ReroutingManagement,51.87013,4.429051
2026-09-06T06:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T06:49+02:00,ReroutingManagement,51.874546,4.3754845
2026-09-06T06:49+02:00,ReroutingManagement,51.862316,4.479005
2026-09-06T06:49+02:00,VehicleObstruction,51.86148,4.4693437
